Bra000001	DNAse I-like superfamily protein
Bra013571	DNA binding
Bra013572	proteinaceous RNase P 3
Bra013573	No annotation found
Bra013574	Protein of unknown function, DUF584
Bra013575	calcium-dependent protein kinase 15
Bra013576	Peroxidase superfamily protein
Bra013577	Protein of unknown function, DUF584
Bra013578	Ubiquitin-like superfamily protein
Bra013579	APS reductase 3
Bra013580	No annotation found
Bra013581	No annotation found
Bra013582	SKU5  similar 4
Bra013583	No annotation found
Bra013584	WRKY DNA-binding protein 31
Bra013585	root hair specific 14
Bra013586	GroES-like zinc-binding dehydrogenase family protein
Bra013587	ERD (early-responsive to dehydration stress) family protein
Bra013588	No annotation found
Bra013589	No annotation found
Bra013590	No annotation found
Bra013591	STRUBBELIG-receptor family 8
Bra013592	PHD finger family protein / bromo-adjacent homology (BAH) domain-containing protein
Bra013593	plant UBX domain-containing protein 3
Bra013594	No annotation found
Bra013595	No annotation found
Bra013596	cysteine-rich RLK (RECEPTOR-like protein kinase) 23
Bra013597	F-box family protein with a domain of unknown function (DUF295)
Bra013598	No annotation found
Bra013599	potassium transport 2/3
Bra013600	No annotation found
Bra013601	SufE/NifU family protein
Bra013602	Plastid-lipid associated protein PAP / fibrillin family protein
Bra013603	RING/U-box superfamily protein
Bra013604	Alternative oxidase family protein
Bra013605	No annotation found
Bra013606	Protein of unknown function (DUF3537)
Bra013607	Ubiquitin-specific protease family C19-related protein
Bra013608	Uncharacterised protein family (UPF0041)
Bra013609	Uncharacterised protein family (UPF0041)
Bra013610	No annotation found
Bra013611	Alkaline phytoceramidase (aPHC)
Bra013612	cytidinediphosphate diacylglycerol synthase 2
Bra013613	Ubiquitin C-terminal hydrolases superfamily protein
Bra013614	SWIB complex BAF60b domain-containing protein
Bra013615	No annotation found
Bra013616	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
Bra013617	Protein of unknown function DUF106, transmembrane
Bra013618	F-box associated ubiquitination effector family protein
Bra013619	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra013620	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra013621	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra013622	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra013623	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra013624	OSBP(oxysterol binding protein)-related protein 2A
Bra013625	Phosphatidic acid phosphatase (PAP2) family protein
Bra013626	F-box associated ubiquitination effector family protein
Bra013627	Exostosin family protein
Bra013628	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Bra013629	No annotation found
Bra013630	SAUR-like auxin-responsive protein family 
Bra013631	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra013632	HSP70-interacting protein 1
Bra013633	myb domain protein 85
Bra013634	cytochrome P450, family 706, subfamily A, polypeptide 1
Bra013635	Actin-like ATPase superfamily protein
Bra013636	Leucine-rich repeat protein kinase family protein
Bra013637	Mannose-binding lectin superfamily protein
Bra013638	No annotation found
Bra013639	Mannose-binding lectin superfamily protein
Bra013640	glycine-rich protein
Bra013641	DHHC-type zinc finger family protein
Bra013642	DHHC-type zinc finger family protein
Bra013643	sterol C4-methyl oxidase 1-2
Bra013644	No annotation found
Bra013645	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra013646	AT hook motif DNA-binding family protein
Bra013647	ACT domain repeat 7
Bra013648	MATE efflux family protein
Bra013649	Predicted AT-hook DNA-binding family protein
Bra013650	No annotation found
Bra013651	Cell cycle regulated microtubule associated protein
Bra013652	leucoanthocyanidin dioxygenase
Bra013653	PGR5-LIKE A
Bra013654	Protein of unknown function (DUF1191)
Bra013655	FIZZY-related 2
Bra013656	cysteine-rich RLK (RECEPTOR-like protein kinase) 11
Bra013657	cysteine-rich RLK (RECEPTOR-like protein kinase) 11
Bra013658	cysteine-rich RLK (RECEPTOR-like protein kinase) 11
Bra013659	cysteine-rich RLK (RECEPTOR-like protein kinase) 11
Bra013660	cysteine-rich RLK (RECEPTOR-like protein kinase) 11
Bra013661	cysteine-rich RLK (RECEPTOR-like protein kinase) 11
Bra013662	Protein kinase superfamily protein
Bra013663	Protein of unknown function (DUF1163)
Bra013664	Protein of unknown function (DUF544)     
Bra013665	homolog of separase
Bra013666	Domain of unknown function (DUF26)
Bra013667	No annotation found
Bra013668	Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein
Bra013669	UDP-galactose transporter 2
Bra013670	No annotation found
Bra013671	MATE efflux family protein
Bra013672	IQ-domain 22
Bra013673	RHOMBOID-like protein 7
Bra013674	osmotin 34
Bra013675	glutamate-cysteine ligase
Bra013676_Bra013677	cysteine-rich RLK (RECEPTOR-like protein kinase) 10
Bra013678	cysteine-rich RLK (RECEPTOR-like protein kinase) 10
Bra013679	cysteine-rich RLK (RECEPTOR-like protein kinase) 21
Bra013680	No annotation found
Bra013681	cysteine-rich RLK (RECEPTOR-like protein kinase) 23
Bra013682	cysteine-rich RLK (RECEPTOR-like protein kinase) 18
Bra013683	cysteine-rich RLK (RECEPTOR-like protein kinase) 23
Bra013684	cysteine-rich RLK (RECEPTOR-like protein kinase) 21
Bra013685	No annotation found
Bra013686	Protein of Unknown Function (DUF239)
Bra013687	No annotation found
Bra013688	Protein of Unknown Function (DUF239)
Bra013689	tetraspanin5
Bra013690	NAD(P)-binding Rossmann-fold superfamily protein
Bra013691	Disease resistance protein (TIR-NBS class)
Bra013692	methylesterase PCR A
Bra013693	PLAC8 family protein
Bra013694	Protein of unknown function (DUF604)
Bra013695	No annotation found
Bra013696	SPIRAL1-like5
Bra013697	Pectin lyase-like superfamily protein
Bra013698	Disease resistance protein (TIR-NBS-LRR class) family
Bra013699	Protein of unknown function (DUF295)
Bra013700	F-box family protein with a domain of unknown function (DUF295)
Bra013701	Protein of unknown function (DUF295)
Bra013702	F-box family protein with a domain of unknown function (DUF295)
Bra013703	Disease resistance protein (TIR-NBS-LRR class) family
Bra013704	Nucleic acid-binding, OB-fold-like protein
Bra013705	Cysteine proteinases superfamily protein
Bra013706	Protein of unknown function (DUF793)
Bra013707	ARM repeat superfamily protein
Bra013708	WRKY family transcription factor
Bra013709	glycosyl hydrolase 9B15
Bra013710	phosphatase-related
Bra013711	Nucleic acid-binding, OB-fold-like protein
Bra013712	Tyrosine transaminase family protein
Bra013713	Nucleic acid-binding, OB-fold-like protein
Bra013714	Tyrosine transaminase family protein
Bra013715	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Bra013716	Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain
Bra013717	VIRB2-interacting protein 1
Bra013718	Potassium transporter family protein
Bra013719	calcium-dependent protein kinase 6
Bra013720	polyprenyltransferase 1
Bra013721	Polyketide cyclase/dehydrase and lipid transport superfamily protein
Bra013722	No annotation found
Bra013723	Disease resistance-responsive (dirigent-like protein) family protein
Bra013724	cation/H+ exchanger 17
Bra013725	Zinc knuckle (CCHC-type) family protein
Bra013726	vacuolar ATP synthase subunit G2
Bra013727	No annotation found
Bra013728	Leucine-rich repeat protein kinase family protein
Bra013729	No annotation found
Bra013730	cytokinin response factor 2
Bra013731	HMG (high mobility group) box protein
Bra013732	WRKY family transcription factor
Bra013733	subtilisin-like serine protease 3
Bra013734	Pectin lyase-like superfamily protein
Bra013735	AMP-dependent synthetase and ligase family protein
Bra013736	nucleosome assembly protein 1;2
Bra013737	PHD finger protein-related
Bra013738	No annotation found
Bra013739	No annotation found
Bra013740	No annotation found
Bra013741	No annotation found
Bra013742	Nucleoside diphosphate kinase family protein
Bra013743	No annotation found
Bra013744	UDP-D-glucose/UDP-D-galactose 4-epimerase 2
Bra013745	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Bra013746	Family of unknown function (DUF662) 
Bra013747	FtsH extracellular protease family
Bra013748	auxin response factor 9
Bra013749	cellulose synthase like G2
Bra013750	cellulose synthase like G2
Bra013751	RING/U-box superfamily protein
Bra013752	No annotation found
Bra013753	No annotation found
Bra013754	NIN like protein 7
Bra013755	No annotation found
Bra013756	trehalase 1
Bra013757	NAD(P)-binding Rossmann-fold superfamily protein
Bra013758	Dof-type zinc finger DNA-binding family protein
Bra013759	aldolase like
Bra013760	aldolase like
Bra013761	No annotation found
Bra013762	Protein kinase superfamily protein
Bra013763	No annotation found
Bra013764	YELLOW STRIPE like 1
Bra013765	Protein of unknown function, DUF538
Bra013766	alpha/beta-Hydrolases superfamily protein
Bra013767	growth-regulating factor 8
Bra013768_Bra013769	NAD(P)-binding Rossmann-fold superfamily protein
Bra013770	alpha/beta-Hydrolases superfamily protein
Bra013771	ATP binding microtubule motor family protein
Bra013772	No annotation found
Bra013773	THAUMATIN-LIKE PROTEIN 1
Bra013774	Chaperone protein htpG family protein
Bra013775	RING/U-box superfamily protein
Bra013776	F-box family protein
Bra013777	NAD(P)-binding Rossmann-fold superfamily protein
Bra013778	acyl-CoA-binding domain 3
Bra013779	WRKY DNA-binding protein 7
Bra013780	Seven transmembrane MLO family protein
Bra013781	glycosyl hydrolase 9A3
Bra013782	No annotation found
Bra013783	F-box and associated interaction domains-containing protein
Bra013784	EMBRYO DEFECTIVE 140
Bra013785	No annotation found
Bra013786	chloroplast heat shock protein 70-1
Bra013787	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra013788	chloroplast heat shock protein 70-1
Bra013789	MAC/Perforin domain-containing protein
Bra013790	Protein of unknown function (DUF679)
Bra013791	Ubiquitin carboxyl-terminal hydrolase family protein
Bra013792	Protein of unknown function (DUF1682)
Bra013793	Phosphorylase superfamily protein
Bra013794	Phosphorylase superfamily protein
Bra013795	No annotation found
Bra013796	No annotation found
Bra013797	No annotation found
Bra013798	RNI-like superfamily protein
Bra013799	CBL-interacting protein kinase 8
Bra013800	Rhamnogalacturonate lyase family protein
Bra013801	No annotation found
Bra013802	transcription initiation factor IIA gamma chain / TFIIA-gamma (TFIIA-S)
Bra013803	phosphoglucan, water dikinase
Bra013804	CRT (chloroquine-resistance transporter)-like transporter 2
Bra013805	GATA-type zinc finger protein with TIFY domain
Bra013806	Protein kinase superfamily protein
Bra013807	RAB geranylgeranyl transferase alpha subunit 1
Bra013808	hydroxyproline-rich glycoprotein family protein
Bra013809	HXXXD-type acyl-transferase family protein
Bra013810	P450 reductase 1
Bra013811	P450 reductase 1
Bra013812	O-fucosyltransferase family protein
Bra013813	Clathrin adaptor complexes medium subunit family protein
Bra013814	ubiquitin-specific protease 16
Bra013815	dicarboxylate carrier 2
Bra013816	Rho GTPase activation protein (RhoGAP) with PH domain
Bra013817	No annotation found
Bra013818	No annotation found
Bra013819	phosphoglucose isomerase 1
Bra013820	DHHC-type zinc finger family protein
Bra013821	Plant invertase/pectin methylesterase inhibitor superfamily protein
Bra013822	homeobox protein 22
Bra013823	tryptophan aminotransferase related 2
Bra013824	modifier of snc1
Bra013825	ubiquitin-associated (UBA)/TS-N domain-containing protein / octicosapeptide/Phox/Bemp1 (PB1) domain-containing protein
Bra013826	No annotation found
Bra013827	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra013828	Calcineurin-like metallo-phosphoesterase superfamily protein
Bra013829	FUS3-complementing gene 2
Bra013830	Rhodanese/Cell cycle control phosphatase superfamily protein
Bra013831	alpha/beta-Hydrolases superfamily protein
Bra013832	31-kDa RNA binding protein
Bra013833	Pectin lyase-like superfamily protein
Bra013834	RAN GTPase activating protein 1
Bra013835	AAA-type ATPase family protein
Bra013836	MA3 domain-containing protein
Bra013837	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra013838	26S proteasome, regulatory subunit Rpn7;Proteasome component (PCI) domain
Bra013839	arginosuccinate synthase family
Bra013840	No annotation found
Bra013841	early nodulin-like protein 13
Bra013842	cytochrome P450, family 71, subfamily B, polypeptide 13
Bra013843	purple acid phosphatase 24
Bra013844	No annotation found
Bra013845	Protein of unknown function (DUF579)
Bra013846	secE/sec61-gamma protein transport protein
Bra013847	thylakoid lumenal 17.9 kDa protein, chloroplast
Bra013848	SUMO-activating enzyme 1A
Bra013849	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
Bra013850	HVA22 homologue D
Bra013851	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein
Bra013852	tapetum determinant 1
Bra013853	Ubiquitin family protein
Bra013854	Nodulin MtN3 family protein
Bra013855	translocase inner membrane subunit 8
Bra013856	No annotation found
Bra013857	autoinhibited Ca(2+)-ATPase 10
Bra013858	Uncharacterised protein family (UPF0497)
Bra013859	acyl carrier protein 4
Bra013860	No annotation found
Bra013861	crumpled leaf
Bra013862	NADPH/respiratory burst oxidase protein D
Bra013863	Fe superoxide dismutase 1
Bra013864	metacaspase 2
Bra013865	peptide met sulfoxide reductase 4
Bra013866	oleosin 1
Bra013867	HAD superfamily, subfamily IIIB acid phosphatase 
Bra013868	U-box domain-containing protein kinase family protein
Bra013869	Uncharacterised conserved protein (UCP012943)
Bra013870	GATA transcription factor 5
Bra013871	RNA polymerase III RPC4
Bra013872	mitochondrion-localized small heat shock protein 23.6
Bra013873	DNA-binding storekeeper protein-related transcriptional regulator
Bra013874	root hair specific 15
Bra013875	No annotation found
Bra013876	RPM1 interacting protein 2
Bra013877	SKU5 similar 1
Bra013878	Plant invertase/pectin methylesterase inhibitor superfamily protein
Bra013879	Plant invertase/pectin methylesterase inhibitor superfamily protein
Bra013880	Plant invertase/pectin methylesterase inhibitor superfamily protein
Bra013881	Plant invertase/pectin methylesterase inhibitor superfamily protein
Bra013882	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra013883	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra013884	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bra013885	Expressed protein
Bra013886	AT hook motif DNA-binding family protein
Bra013887	FK506 BINDING PROTEIN 53
